Frame: 37, ID: 29 Class: car, Coor: 3193,1844,3351,1962
Frame: 37, ID: 31 Class: clock, Coor: 2655,1474,2815,1619
Frame: 37, ID: 35 Class: bird, Coor: 2756,677,2894,770
Frame: 37, ID: 36 Class: car, Coor: 2879,1697,3129,1829
Frame: 37, ID: 37 Class: car, Coor: 3759,2051,3839,2154
Frame: 38, ID: 3 Class: bird, Coor: 3425,1323,3497,1400
Frame: 38, ID: 4 Class: bird, Coor: 2489,1306,2600,1429
Frame: 38, ID: 5 Class: bird, Coor: 2189,1266,2352,1399
Frame: 38, ID: 8 Class: bird, Coor: 2138,1864,2158,1890
Frame: 38, ID: 10 Class: clock, Coor: 2382,1881,2438,1944
Frame: 38, ID: 29 Class: car, Coor: 3195,1841,3351,1958
Frame: 38, ID: 31 Class: clock, Coor: 2655,1474,2816,1620
Frame: 38, ID: 36 Class: car, Coor: 2878,1696,3127,1832
Frame: 38, ID: 37 Class: car, Coor: 3759,2051,3839,2154
Frame: 38, ID: 44 Class: car, Coor: 2714,1652,2749,1691
Frame: 39, ID: 3 Class: bird, Coor: 3424,1323,3498,1400
Frame: 39, ID: 4 Class: bird, Coor: 2489,1305,2600,1429
Frame: 39, ID: 5 Class: bird, Coor: 2190,1264,2355,1400
Frame: 39, ID: 10 Class: clock, Coor: 2382,1881,2438,1944
Frame: 39, ID: 29 Class: car, Coor: 3192,1841,3346,1957
Frame: 39, ID: 31 Class: clock, Coor: 2657,1476,2815,1619
Frame: 39, ID: 36 Class: car, Coor: 2879,1695,3122,1832
Frame: 39, ID: 37 Class: car, Coor: 3760,2051,3838,2153
Frame: 39, ID: 44 Class: car, Coor: 2715,1652,2749,1690
Frame: 39, ID: 46 Class: bird, Coor: 3641,935,3711,1005
Frame: 40, ID: 3 Class: bird, Coor: 3424,1323,3497,1400
Frame: 40, ID: 4 Class: bird, Coor: 2490,1306,2599,1429
Frame: 40, ID: 5 Class: bird, Coor: 2192,1262,2358,1399
Frame: 40, ID: 8 Class: bird, Coor: 2138,1864,2158,1890
Frame: 40, ID: 10 Class: clock, Coor: 2382,1881,2438,1944
Frame: 40, ID: 16 Class: car, Coor: 2079,1846,2099,1872
Frame: 40, ID: 29 Class: car, Coor: 3189,1840,3343,1956
Frame: 40, ID: 31 Class: clock, Coor: 2657,1477,2814,1619
Frame: 40, ID: 34 Class: bird, Coor: 1995,1440,2154,1563
Frame: 40, ID: 36 Class: car, Coor: 2880,1693,3117,1830
Frame: 40, ID: 37 Class: car, Coor: 3760,2052,3838,2153
Frame: 40, ID: 44 Class: car, Coor: 2715,1652,2748,1690
Frame: 40, ID: 46 Class: bird, Coor: 3641,935,3711,1005
Frame: 41, ID: 3 Class: bird, Coor: 3424,1323,3497,1400
Frame: 41, ID: 4 Class: bird, Coor: 2490,1306,2599,1429
Frame: 41, ID: 5 Class: bird, Coor: 2194,1260,2360,1398
Frame: 41, ID: 8 Class: bird, Coor: 2138,1864,2158,1890
Frame: 41, ID: 10 Class: clock, Coor: 2382,1881,2438,1944
Frame: 41, ID: 16 Class: car, Coor: 2080,1847,2099,1872
Frame: 41, ID: 29 Class: car, Coor: 3192,1839,3346,1955
Frame: 41, ID: 31 Class: clock, Coor: 2656,1477,2815,1618
Frame: 41, ID: 34 Class: bird, Coor: 2002,1443,2160,1565
Frame: 41, ID: 36 Class: car, Coor: 2882,1693,3111,1829
Frame: 41, ID: 44 Class: car, Coor: 2714,1652,2748,1689
Frame: 41, ID: 46 Class: bird, Coor: 3641,934,3712,1005
Frame: 42, ID: 3 Class: bird, Coor: 3424,1323,3497,1400
Frame: 42, ID: 4 Class: bird, Coor: 2490,1306,2599,1428
Frame: 42, ID: 5 Class: bird, Coor: 2196,1258,2362,1397
Frame: 42, ID: 10 Class: clock, Coor: 2382,1881,2438,1945
Frame: 42, ID: 29 Class: car, Coor: 3194,1838,3346,1954
Frame: 42, ID: 31 Class: clock, Coor: 2655,1475,2815,1618
Frame: 42, ID: 34 Class: bird, Coor: 2006,1442,2169,1567
Frame: 42, ID: 35 Class: bird, Coor: 2754,675,2896,771
Frame: 42, ID: 36 Class: car, Coor: 2882,1691,3107,1828
